Altium Designer Pick and Place Locations
C:\Users\Constanza\Desktop\GIT_repos\iowlabs_repos\2020_05_26-FluOpti\3 - Hardware\FOdriver_V2.0\Project Outputs for FOdriver_V2.0\Pick Place for PCBV2.csv

========================================================================================================================
File Design Information:

Date:       06-04-21
Time:       07:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C30","Cap Semi","TopLayer","1608[0603]","3132.419","6285.140","270","Capacitor (Semiconductor SIM Model)"
"L3","Inductor","TopLayer","IND-SMD_L12.3-W12.3","3030.512","8466.733","0","Inductor SMD"
"U10","TCA9517A","TopLayer","VSSOP_-_8","3285.000","6175.000","270","VSSOP-8_3x3x065P Level Translators, Shifters RoHS"
"R63","Res3","TopLayer","J1-0603","2590.000","7700.000","90","Resistor"
"ON","Generic LED","TopLayer","LED0603","2510.000","7705.000","90","Generic LED SMD"
"R62","Res3","TopLayer","J1-0603","2455.000","6600.000","90","Resistor"
"R61","Res3","TopLayer","J1-0603","4080.000","8095.000","90","Resistor"
"5V","Generic LED","TopLayer","LED0603","2385.000","6600.000","90","Generic LED SMD"
"3V3","Generic LED","TopLayer","LED0603","3990.000","8095.000","90","Generic LED SMD"
"S3","Generic Header 3x1","TopLayer","CONN-TH_A2547WV-3P","4941.890","5851.418","360","Generic Header 3pos, 1 row, 2.54 pitch"
"L1","Inductor","TopLayer","IND-SMD_L12.5-W12.5_SMDRS1275","3160.276","7280.630","360","Inductor SMD"
"RG4","Power connector 2x1","TopLayer","CONN-TH_430450212","5625.000","8877.126","90","Generic Header Power 2pos"
"U8","PCA9685","TopLayer","SSOP-28_L","4429.744","10076.792","0","LED Drivers,16CH, I2C, TSSOP-28"
"U6","ULN2803A","TopLayer","SOIC18","4436.772","9416.221","270","Darlington transistor array driver SOIC-18_300mi"
"SJ1","sj","TopLayer","SJ2","3933.898","5852.717","180","solder jumper generic"
"C22_1","Cap Semi","TopLayer","1608[0603]","4172.677","7309.685","180","Capacitor (Semiconductor SIM Model)"
