Altium Designer Pick and Place Locations
C:\Users\Wac\Desktop\repo_pega\iowlabs\MiniFluOpti\3 - Hardware\miniFOdriver_V1.0\Project Outputs for miniFOdriver_V1.0\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       07-09-21
Time:       02:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J9","Tblock 2x1","TopLayer","T_BLOCK_2P","649.606","3464.567","270","Screw terminal 2pos, 1 row, 5pitch"
"C80","Cap pol","TopLayer","CAP_SMD_Electrolytic_5X5.4","984.252","3572.835","90","Electrolytic Aluminium Capacitor"
"C2","Cap pol","TopLayer","CAP_SMD_Electrolytic_10x10","728.346","2963.061","180","Electrolytic Aluminium Capacitor"
"R1","Res3","TopLayer","J1-0603","2064.961","3334.646","180","±1% ±100ppm/? 0.1W 220O 0603 Chip Resistor - Surface Mount ROHS"
"R3","Res3","TopLayer","J1-0603","2066.699","3415.354","180","Resistor"
"D3","Generic LED","TopLayer","LED0603","2175.427","3334.646","0","Generic LED SMD"
"D4","Generic LED","TopLayer","LED0603","2177.165","3415.354","0","Generic LED SMD"
"J8","Generic header 2x1","TopLayer","JST-2x1","1924.016","1692.913","0","Generic Header 2pos, 1 row, 2.54 pitch"
"J7","Generic header 2x1","TopLayer","JST-2x1","1601.181","1692.913","0","Generic Header 2pos, 1 row, 2.54 pitch"
"J6","Generic header 2x1","TopLayer","JST-2x1","875.984","1780.709","90","Generic Header 2pos, 1 row, 2.54 pitch"
"J5","Generic header 2x1","TopLayer","JST-2x1","610.236","1780.709","90","Generic Header 2pos, 1 row, 2.54 pitch"
"J4","Generic header 2x1","TopLayer","JST-2x1","2244.095","1692.913","0","Generic Header 2pos, 1 row, 2.54 pitch"
"J3","Generic header 2x1","TopLayer","JST-2x1","2559.843","1692.913","0","Generic Header 2pos, 1 row, 2.54 pitch"
"J2","Generic header 2x1","TopLayer","JST-2x1","3543.307","3248.032","90","Generic Header 2pos, 1 row, 2.54 pitch"
"J1","Generic header 2x1","TopLayer","JST-2x1","3543.307","2904.331","90","Generic Header 2pos, 1 row, 2.54 pitch"
"R23","CRCW06033K74FKEA","TopLayer","RESC1609X50X30LL10T20","3215.551","3169.291","180",""
"R22","CRCW06033K74FKEA","TopLayer","RESC1609X50X30LL10T20","3218.504","2805.118","180",""
"C12","Cap Semi","TopLayer","1608[0603]","3100.394","3385.828","90","Capacitor (Semiconductor SIM Model)"
"U1","LM2596-5V","TopLayer","TO-263-5","1791.339","2933.070","90","Step-Down Positive Fixed 1 3A 150kHz TO-263-5 DC-DC Converters RoHS"
"U5","PCA9685","TopLayer","SSOP-28_L","2651.472","3102.150","90","LED Drivers,16CH, I2C, TSSOP-28"
"U4","ULN2803A","TopLayer","SOIC18","3250.000","2381.890","360","Darlington transistor array driver SOIC-18_300mi"
"U2","AP2112K-3.3TRG1","TopLayer","SOT25-5","1750.732","3443.334","0","600mA CMOS LDO REGULATOR WITH ENABLE"
"tp-1","Pin Header 2x1","TopLayer","HDR-TH_P2.54-H-M_A2541WV-2P","720.404","3976.378","90","Pin Header 2pos, 1 row, 2.54 pitch"
"tp-2","Pin Header 2x1","TopLayer","HDR-TH_P2.54-H-M_A2541WV-2P","840.414","3976.379","90","Pin Header 2pos, 1 row, 2.54 pitch"
"R2","Res3","TopLayer","J1-0603","1253.709","3432.512","180","Resistor"
"R16","Res3","TopLayer","J1-0603","2677.165","3366.142","180","Resistor"
"R17","Res3","TopLayer","J1-0603","2677.165","3425.197","180","Resistor"
"R10","Res3","TopLayer","J1-0603","2470.473","3415.354","360","Resistor"
"R9","Res3","TopLayer","J1-0603","2470.473","3358.099","360","Resistor"
"R19","Res3","TopLayer","J1-0603","2568.897","2687.008","90","Resistor"
"R18","Res3","TopLayer","J1-0603","2509.843","2687.008","90","Resistor"
"R15","Res3","TopLayer","J1-0603","2450.788","2687.008","90","Resistor"
"R14","Res3","TopLayer","J1-0603","2391.733","2687.008","90","Resistor"
"R13","Res3","TopLayer","J1-0603","2332.678","2687.008","90","Resistor"
"R12","Res3","TopLayer","J1-0603","2938.473","3085.150","180","Resistor"
"R11","Res3","TopLayer","J1-0603","2939.473","3154.150","180","Resistor"
"R8","Res3","TopLayer","J1-0603","2362.204","2844.488","0","Resistor"
"R7","Res3","TopLayer","J1-0603","2362.204","2903.543","0","Resistor"
"R6","Res3","TopLayer","J1-0603","2362.204","2962.598","0","Resistor"
"R5","Res3","TopLayer","J1-0603","2342.520","3188.977","270","Resistor"
"R21_3","Res3","TopLayer","J1-0603","2391.732","2362.205","180","Resistor"
"R21_1","Res3","TopLayer","J1-0603","1879.921","2362.205","180","Resistor"
"R20_3","Res3","TopLayer","J1-0603","2391.733","2421.260","180","Resistor"
"R20_1","Res3","TopLayer","J1-0603","1879.921","2421.260","180","Resistor"
"D2","Generic LED","TopLayer","LED0603","1386.205","3433.512","0","Generic LED SMD"
"L1","Inductor","TopLayer","IND-SMD_L12.5-W12.5_SMDRS1275","1289.370","2706.693","270","Inductor SMD"
"ID-PWM1","sj","TopLayer","SJ2","2342.520","3070.866","270","solder jumper generic"
"F1","Generic Fuse","TopLayer","F1206","1102.362","3188.976","90","SMD Fuse"
"D1","Schottky Diode","TopLayer","SMB_L4.6-W3.6-LS5.3-RD","1368.110","3139.764","180","Schottky Diodes"
"C10","Cap Semi","TopLayer","1608[0603]","2401.575","3188.976","90","Capacitor (Semiconductor SIM Model)"
"C5","Cap Semi","TopLayer","1608[0603]","1860.236","3435.039","270","Capacitor (Semiconductor SIM Model)"
