Tiempo,Temperatura
1.017224788665771484e-01,2.904570241000610409e+01
1.140419006347656250e+00,2.931253472158977047e+01
2.176819801330566406e+00,2.959838242577246703e+01
3.213026046752929688e+00,2.989548889539597809e+01
4.249264717102050781e+00,3.022115434388749833e+01
5.285480499267578125e+00,3.054096683976108650e+01
6.323936223983764648e+00,3.086439232409381717e+01
7.363505601882934570e+00,3.120083539253958449e+01
8.402502536773681641e+00,3.153636462221187742e+01
9.441601991653442383e+00,3.187903014516382072e+01
1.048116993904113770e+01,3.220870905539573670e+01
1.152084255218505859e+01,3.253647176374575878e+01
1.255989289283752441e+01,3.285324298798115450e+01
1.359606313705444336e+01,3.316755688460320783e+01
1.463224458694458008e+01,3.349377888375399692e+01
1.566840147972106934e+01,3.380901856763925650e+01
1.670455598831176758e+01,3.413063759052730717e+01
1.774075698852539062e+01,3.443844222104250719e+01
1.878232550621032715e+01,3.473944582881501475e+01
1.981848907470703125e+01,3.503147139189740500e+01
2.085467314720153809e+01,3.532166118195529236e+01
2.189082789421081543e+01,3.562499454065032012e+01
2.292698264122009277e+01,3.592553554252549475e+01
2.396325778961181641e+01,3.620571448413878812e+01
2.500582075119018555e+01,3.647907791206836947e+01
2.604845452308654785e+01,3.672640706705033864e+01
2.709093809127807617e+01,3.697587660299524970e+01
2.812710380554199219e+01,3.722234048791929695e+01
2.916326045989990234e+01,3.746827372604020212e+01
3.019942808151245117e+01,3.771248835313300418e+01
3.123559856414794922e+01,3.794291673921875940e+01
3.227175211906433105e+01,3.817094171035287786e+01
3.330793142318725586e+01,3.839998620852212952e+01
3.434409427642822266e+01,3.861933122675092278e+01
3.538026738166809082e+01,3.883734345209165895e+01
3.641642618179321289e+01,3.906958950029991229e+01
3.745259070396423340e+01,3.927443913727798019e+01
3.848875236511230469e+01,3.948240382235216117e+01
3.952491521835327148e+01,3.966816319917340650e+01
4.056112575531005859e+01,3.985718840528075901e+01
4.159731268882751465e+01,4.003868230798500605e+01
4.263349318504333496e+01,4.022174981988763420e+01
4.366967940330505371e+01,4.040395409663814519e+01
4.470582842826843262e+01,4.058530122961361997e+01
4.574235200881958008e+01,4.075293277772652090e+01
4.677851057052612305e+01,4.092410525515451525e+01
4.781466650962829590e+01,4.107655258764607709e+01
4.885083365440368652e+01,4.122295367438759683e+01
4.988701081275939941e+01,4.137323085879026507e+01
5.092317390441894531e+01,4.151415158558857854e+01
5.195935058593750000e+01,4.165457405668195179e+01
